"0 mins","30607.5873,29118.3252","Per Minute Charging","BAYFRONT AVENUE OFF STREET","01.00 PM","$0.00","07.00 AM","B0098","$0.00","60 mins","0 mins","B","251","Car","$4.00"
"0 mins","30607.5873,29118.3252","Per Minute Charging","BAYFRONT AVENUE OFF STREET","07.00 AM","$0.00","01.00 PM","B0098","$0.00","60 mins","0 mins","B","251","Car","$1.60"
"0 mins","30607.5873,29118.3252","Per Minute Charging","BAYFRONT AVENUE OFF STREET","07.00 AM","$0.00","07.00 AM","B0098","$1.60","0 mins","60 mins","B","251","Car","$0.00"
"60 mins","30607.5873,29118.3252","Per Minute Charging","BAYFRONT AVENUE OFF STREET","07.00 AM","$5.00","07.00 AM","B0098","$5.00","60 mins","60 mins","B","10","Heavy Vehicle","$5.00"
"60 mins","30607.5873,29118.3252","Per Minute Charging","BAYFRONT AVENUE OFF STREET","07.00 AM","$0.50","07.00 AM","B0098","$0.50","60 mins","60 mins","B","176","Motorcycle","$0.50"
"30 mins","31085.5229,32945.4722","Parking charge between 10.30pm & 7am is capped at $5.","BENDEMEER ROAD HEAVY VEHICLE PARK","07.00 AM","$0.60","07.00 AM","B0099","$0.60","30 mins","30 mins","C","19","Car","$0.60"
"30 mins","31085.5229,32945.4722","Reserved for Season Ticket Holders from 7.00 pm to 7.00 am daily.","BENDEMEER ROAD HEAVY VEHICLE PARK","07.00 PM","$1.20","07.00 AM","B0099","$1.20","30 mins","30 mins","C","128","Heavy Vehicle","$1.20"
"30 mins","32206.689,38328.8204","-","BRIGHTON CRESCENT ","10.00 PM","$0.60","08.30 AM","B0100","$0.00","30 mins","0 mins","C","11","Car","$0.60"
"Day","32206.689,38328.8204","-","BRIGHTON CRESCENT ","10.00 PM","$0.65","08.30 AM","B0100","$0.00","Day","0 mins","C","10","Motorcycle","$0.65"
"Day","29926.699,29413.5541","-","BACKLANE BET CECIL STREET/MARKET STREET","05.00 PM","$0.65","08.30 AM","BL001","$0.00","Day","0 mins","C","20","Motorcycle","$0.65"
"870 mins","29707.1841,29987.8894","-","BACKLANE BET NORTH CANAL ROAD/CIRCULAR RD","10.00 PM","$0.65","08.30 AM","BL008","$0.65","870 mins","870 mins","C","10","Motorcycle","$0.65"
"","29657.8081,29890.2923","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Day","29624.1833,29981.771","-","BACKLANE BET HONGKONG ST/CARPENTER STREET","10.00 PM","$0.65","08.30 AM","BL009","$0.65","Day","Day","C","7","Motorcycle","$0.65"
"Day","29755.624,29839.3235","-","BACKLANE BET LORONG TELOK/CIRCULAR ROAD","10.00 PM","$0.65","08.30 AM","BL010","$0.65","Day","Day","C","13","Motorcycle","$0.65"
"Day","29681.6078,29783.0353","-","BACKLANE OFF SYNAGOGUE STREET","05.00 PM","$0.65","08.30 AM","BL011","$0.00","Day","0 mins","C","43","Motorcycle","$0.65"
"Day","29627.5267,29401.4601","-","BACKLANE BET BOON TAT STREET/AMOY STREET","10.00 PM","$0.65","08.30 AM","BL014","$0.65","Day","Day","C","16","Motorcycle","$0.65"
"","29620.0353,29361.7299","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Day","29556.7231,29268.1156","-","BACKLANE OFF AMOY STREET","10.00 PM","$0.65","08.30 AM","BL015","$0.65","Day","Day","C","8","Motorcycle","$0.65"
"Day","29545.3442,29441.7397","-","BACKLANE OFF GEMMILL LANE","10.00 PM","$0.65","08.30 AM","BL016","$0.65","Day","Day","C","6","Motorcycle","$0.65"
"Day","29370.8425,29553.3079","-","BACKLANE BET UPPER CROSS ST/MOSQUE STREET","10.00 PM","$0.65","08.30 AM","BL019","$0.65","Day","Day","C","20","Motorcycle","$0.65"
"","29202.2385,29653.2223","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Day","29219.7236,29102.581","-","BACKLANE OFF COOK STREET","10.00 PM","$0.65","08.30 AM","BL021","$0.65","Day","Day","C","9","Motorcycle","$0.65"
"Day","29204.391,29002.2775","-","BACKLANE BET TRAS STREET/COOK STREET","10.00 PM","$0.65","08.30 AM","BL022","$0.65","Day","Day","C","18","Motorcycle","$0.65"
"","29202.3825,28854.7955","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Day","29270.809,28983.8266","-","BACKLANE BET PECK SEAH STREET/TRAS STREET","10.00 PM","$0.65","08.30 AM","BL023","$0.65","Day","Day","C","18","Motorcycle","$0.65"
"","29253.188,28850.9587","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Day","28803.6039,28982.9891","-","BACKLANE OFF BUKIT PASOH ROAD","10.00 PM","$0.65","08.30 AM","BL031","$0.65","Day","Day","C","12","Motorcycle","$0.65"
"","28858.9794,29012.6316","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Day","28894.9046,29074.7728","-","BACKLANE OFF KEONG SAIK ROAD","10.00 PM","$0.65","08.30 AM","BL032","$0.65","Day","Day","C","7","Motorcycle","$0.65"
"Day","28962.4945,29117.6317","-","BACKLANE OFF TECK LIM ROAD","10.00 PM","$0.65","08.30 AM","BL033","$0.65","Day","Day","C","12","Motorcycle","$0.65"
"Day","28960.8907,29244.0823","-","BACKLANE BET KEONG SAIK ROAD/NEIL ROAD","10.00 PM","$0.65","08.30 AM","BL034","$0.65","Day","Day","C","8","Motorcycle","$0.65"
"Day","29009.0407,29424.6911","-","BACKLANE BET KEONG SAIK/NEW BRIDGE ROAD","10.00 PM","$0.65","08.30 AM","BL035","$0.65","Day","Day","C","5","Motorcycle","$0.65"
"Day","29604.1456,30123.8278","-","BACKLANE BET CARPENTER /UPPER CIRCULAR ROAD","10.00 PM","$0.65","08.30 AM","BL041","$0.65","Day","Day","C","9","Motorcycle","$0.65"
"570 mins","29759.6663,29672.7746","-","BACKLANE BET SYNAGOGUE STREET/CHURCH STREET","05.00 PM","$0.65","08.30 AM","BL046","$0.00","570 mins","0 mins","C","9","Motorcycle","$0.65"
"Day","29755.8282,29168.1612","-","BACKLANE BET BOON TAT STREET/MCCALLUM STREET","10.00 PM","$0.65","08.30 AM","BL053","$0.65","Day","Day","C","60","Motorcycle","$0.65"
"Day","29660.6294,29291.8854","-","BACKLANE OFF BOON TAT STREET","10.00 PM","$0.65","08.30 AM","BL054","$0.65","Day","Day","C","13","Motorcycle","$0.65"
"","29738.2315,29315.8853","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Day","29573.7845,29133.6023","-","BACKLANE OFF MCCALLUM STREET","10.00 PM","$0.65","08.30 AM","BL055","$0.65","Day","Day","C","3","Motorcycle","$0.65"
"Day","29094.504,29526.2259","-","BACKLANE OFF SMITH STREET","10.00 PM","$0.65","08.30 AM","BL060","$0.65","Day","Day","C","15","Motorcycle","$0.65"
"Day","29115.785,29547.9814","-","BACKLANE BET TEMPLE STREET/PAGODA STREET","10.00 PM","$0.65","08.30 AM","BL061","$0.65","Day","Day","C","10","Motorcycle","$0.65"
"","29187.1053,29507.4179","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Day","29287.7375,29409.1802","-","BACKLANE BET TEMPLE STREET/SMITH STREET","10.00 PM","$0.65","08.30 AM","BL062","$0.65","Day","Day","C","13","Motorcycle","$0.65"
"Day","29322.1265,29312.703","-","BACKLANE BET ANN SIANG ROAD/ERSKINE ROAD","10.00 PM","$0.65","08.30 AM","BL067","$0.65","Day","Day","C","21","Motorcycle","$0.65"
"","29380.5118,29258.2362","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Day","29111.4933,28913.0603","-","BACKLANE BET CRAIG ROAD/DUXTON ROAD","10.00 PM","$0.65","08.30 AM","BL076","$0.65","Day","Day","C","22","Motorcycle","$0.65"
"Day","28944.4173,29173.2799","-","BACKLANE BET JIAK CHUAN RD/TECK LIM ROAD","10.00 PM","$0.65","08.30 AM","BL077","$0.65","Day","Day","C","7","Motorcycle","$0.65"
"Day","30361.8281,30979.232","-","BACKLANE OFF SEAH STREET","10.00 PM","$0.65","08.30 AM","BL092","$0.65","Day","Day","C","3","Motorcycle","$0.65"
"Day","30485.8294,30988.6298","-","BACKLANE OFF PURVIS STREET","10.00 PM","$0.65","08.30 AM","BL093","$0.65","Day","Day","C","9","Motorcycle","$0.65"
"870 mins","30529.227,31062.1175","-","BACKLANE BET MIDDLE ROAD/LIANG SEAH STREET","10.00 PM","$0.65","08.30 AM","BL094","$0.65","870 mins","870 mins","C","16","Motorcycle","$0.65"
"","30494.983,31161.3575","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Day","30203.9377,31929.9898","-","BACKLANE BET PERAK ROAD/MADRAS STREET","05.00 PM","$0.65","08.30 AM","BL109","$0.00","Day","0 mins","C","5","Motorcycle","$0.65"
"570 mins","30307.3076,31819.7605","-","BACKLANE BET MAYO STREET/DUNLOP STREET","05.00 PM","$0.65","08.30 AM","BL111","$0.00","570 mins","0 mins","C","5","Motorcycle","$0.65"
"Day","30348.8547,31862.5046","-","BACKLANE BET DICKSON ROAD/DUNLOP STREET","05.00 PM","$0.65","08.30 AM","BL112","$0.00","Day","0 mins","C","6","Motorcycle","$0.65"
"Day","30154.6544,32081.4463","-","BACKLANE BET KAMPONG KAPOR/UPPER DICKSON RD","05.00 PM","$0.65","08.30 AM","BL116","$0.00","Day","0 mins","C","10","Motorcycle","$0.65"
"","30127.4599,32139.0776","-","-","-","-","-","-","-","-","-","-","-","-","-"
